"","especie","eco_con","eco_dud","hab_con","hab_dud","tha","ele_inf","ele_sup"
"298","Myotis chiloensis","Monte de Llanuras y Mesetas; Bosque Patagónico; Estepa Patagónica","","selvas o bosques; arbustales; estepas; lagos o lagunas; rios o arroyos","forestaciones; canales artificiales","MEDIA","50","1500"
"299","Myotis dinellii","Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Espinal; Delta e Islas del Paraná; Pampa; Estepa Patagónica","","selvas o bosques; arbustales; pastizales; rupestre; estepas; forestaciones","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","0","2860"
"300","Myotis izecksohni","Campos y Malezales; Selva Paranaense","","selvas o bosques; rupestre","","DESCONOCIDA","179","1342"
"301","Myotis keaysi","Puna; Yungas; Chaco Seco","","selvas o bosques","arbustales; forestaciones","DESCONOCIDA","500","3540"
"302","Myotis lavali","Yungas","","selvas o bosques","","DESCONOCIDA","","670"
"303","Myotis levis","Campos y Malezales; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; rupestre; forestaciones","pastizales; cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","30","820"
"304","Myotis nigricans","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Selva Paranaense","","selvas o bosques; arbustales; forestaciones; urbano o periurbano","pastizales; cultivos o agrícolas; pasturas ganaderas","MEDIA","87","2683"
"305","Myotis oxyotus","Puna","","arbustales; rupestre","","MEDIA","3000","3500"
"306","Myotis riparius","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; palustre","cultivos o agrícolas; forestaciones; embalses o diques; urbano o periurbano; canales artificiales","MEDIA","60","2000"
"307","Myotis ruber","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques","","MUY BAJA","0","758"
"308","Myotis simus","Chaco Húmedo; Campos y Malezales; Esteros del Iberá","","selvas o bosques; arbustales; rios o arroyos; palustre","canales artificiales","DESCONOCIDA","28","600"
"309","Myrmecophaga tridactyla","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Selva Paranaense","","selvas o bosques; arbustales; pastizales","palustre; cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","0","1000"
"310","Nasua nasua","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques","arbustales; cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","100","2500"
"311","Necromys amoenus","Puna; Yungas","","pastizales; rupestre","","DESCONOCIDA","3100","3100"
"312","Necromys lactens","Puna; Yungas; Monte de Sierras y Bolsones; Chaco Seco","","arbustales; pastizales","","DESCONOCIDA","1500","3100"
"313","Necromys lasiurus","Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Pampa; Selva Paranaense","","arbustales","pastizales; cultivos o agrícolas; pasturas ganaderas","DESCONOCIDA","",""
"314","Necromys lenguarum","Chaco Seco","","","","SIN DATOS","120","550"
